id,slug,name,description,upgradedName,upgradedDescription,character,pool,type,cost,rarity,image,portraitUrl,sourceUrl,sortCost,source,source_url,fetched_at_utc
15-apotheosis,apotheosis,Apotheosis,Innate. Upgrade ALL your cards. Exhaust.,Apotheosis+,Cost changes from 2 to 1,Colorless,Event,Skill,2,Ancient,/media/cards-webp/apotheosis.webp,/media/card-portraits/event/apotheosis.webp,https://sts2.untapped.gg/en/cards/apotheosis,2,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
16-apparition,apparition,Apparition,Ethereal. Gain 1 Intangible. Exhaust.,Apparition+,Gain 1 Intangible. Exhaust.,Colorless,Event,Skill,1,Ancient,/media/cards-webp/apparition.webp,/media/card-portraits/event/apparition.webp,https://sts2.untapped.gg/en/cards/apparition,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
17-armaments,armaments,Armaments,Gain 5 Block. Upgrade a card in your Hand.,Armaments+,Gain 5 Block. Upgrade ALL cards in your Hand.,Ironclad,Ironclad,Skill,1,Common,/media/cards-webp/armaments.webp,/media/card-portraits/ironclad/armaments.webp,https://sts2.untapped.gg/en/cards/armaments,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
18-arsenal,arsenal,Arsenal,"Whenever you play a Colorless card, gain 1 Strength.",Arsenal+,"Whenever you play a Colorless card, gain 2 Strength.",Regent,Regent,Power,1,Rare,/media/cards-webp/arsenal.webp,/media/card-portraits/regent/arsenal.webp,https://sts2.untapped.gg/en/cards/arsenal,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
19-ascender-s-bane,ascenders_bane,Ascender's Bane,Unplayable. Ethereal. Eternal.,,,Colorless,Curse,Curse,N/A,Curse,/media/cards-webp/ascenders_bane.webp,/media/card-portraits/curse/ascenders_bane.webp,https://sts2.untapped.gg/en/cards/ascenders_bane,999,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
20-ashen-strike,ashen_strike,Ashen Strike,Deal 6 damage. Deals 3 additional damage for each card in your Exhaust Pile.,Ashen Strike+,Deal 6 damage. Deals 4 additional damage for each card in your Exhaust Pile.,Ironclad,Ironclad,Attack,1,Uncommon,/media/cards-webp/ashen_strike.webp,/media/card-portraits/ironclad/ashen_strike.webp,https://sts2.untapped.gg/en/cards/ashen_strike,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
21-assassinate,assassinate,Assassinate,Innate. Deal 10 damage. Apply 1 Vulnerable. Exhaust.,Assassinate+,Innate. Deal 13 damage. Apply 2 Vulnerable. Exhaust.,Silent,Silent,Attack,0,Rare,/media/cards-webp/assassinate.webp,/media/card-portraits/silent/assassinate.webp,https://sts2.untapped.gg/en/cards/assassinate,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
22-astral-pulse,astral_pulse,Astral Pulse,Deal 14 damage to ALL enemies.,Astral Pulse+,Deal 18 damage to ALL enemies.,Regent,Regent,Attack,0,Common,/media/cards-webp/astral_pulse.webp,/media/card-portraits/regent/astral_pulse.webp,https://sts2.untapped.gg/en/cards/astral_pulse,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
23-automation,automation,Automation,"Every 10 cards you draw, gain 1 Colorless Energy.",Automation+,Cost changes from 1 to 0,Colorless,Colorless,Power,1,Uncommon,/media/cards-webp/automation.webp,/media/card-portraits/colorless/automation.webp,https://sts2.untapped.gg/en/cards/automation,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
24-backflip,backflip,Backflip,Gain 5 Block. Draw 2 cards.,Backflip+,Gain 8 Block. Draw 2 cards.,Silent,Silent,Skill,1,Common,/media/cards-webp/backflip.webp,/media/card-portraits/silent/backflip.webp,https://sts2.untapped.gg/en/cards/backflip,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
25-backstab,backstab,Backstab,Innate. Deal 11 damage. Exhaust.,Backstab+,Innate. Deal 15 damage. Exhaust.,Silent,Silent,Attack,0,Uncommon,/media/cards-webp/backstab.webp,/media/card-portraits/silent/backstab.webp,https://sts2.untapped.gg/en/cards/backstab,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
26-bad-luck,bad_luck,Bad Luck,"Unplayable. At the end of your turn, if this is in your Hand, lose 13 HP. Eternal.",,,Colorless,Curse,Curse,N/A,Curse,/media/cards-webp/bad_luck.webp,/media/card-portraits/curse/bad_luck.webp,https://sts2.untapped.gg/en/cards/bad_luck,999,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
27-ball-lightning,ball_lightning,Ball Lightning,Deal 7 damage. Channel 1 Lightning.,Ball Lightning+,Deal 10 damage. Channel 1 Lightning.,Defect,Defect,Attack,1,Common,/media/cards-webp/ball_lightning.webp,/media/card-portraits/defect/ball_lightning.webp,https://sts2.untapped.gg/en/cards/ball_lightning,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
28-banshee-s-cry,banshees_cry,Banshee's Cry,Deal 33 damage to ALL enemies. Costs 2 Energy less for each Ethereal card played this combat.,Banshee's Cry+,Deal 39 damage to ALL enemies. Costs 2 Energy less for each Ethereal card played this combat.,Necrobinder,Necrobinder,Attack,6,Rare,/media/cards-webp/banshees_cry.webp,/media/card-portraits/necrobinder/banshees_cry.webp,https://sts2.untapped.gg/en/cards/banshees_cry,6,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
29-barrage,barrage,Barrage,Deal 5 damage for each Channeled Orb.,Barrage+,Deal 7 damage for each Channeled Orb.,Defect,Defect,Attack,1,Common,/media/cards-webp/barrage.webp,/media/card-portraits/defect/barrage.webp,https://sts2.untapped.gg/en/cards/barrage,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
30-barricade,barricade,Barricade,Block is not removed at the start of your turn.,Barricade+,Cost changes from 3 to 2,Ironclad,Ironclad,Power,3,Rare,/media/cards-webp/barricade.webp,/media/card-portraits/ironclad/barricade.webp,https://sts2.untapped.gg/en/cards/barricade,3,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
31-bash,bash,Bash,Deal 8 damage. Apply 2 Vulnerable.,Bash+,Deal 10 damage. Apply 3 Vulnerable.,Ironclad,Ironclad,Attack,2,Starter,/media/cards-webp/bash.webp,/media/card-portraits/ironclad/bash.webp,https://sts2.untapped.gg/en/cards/bash,2,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
32-battle-trance,battle_trance,Battle Trance,Draw 3 cards. You cannot draw additional cards this turn.,Battle Trance+,Draw 4 cards. You cannot draw additional cards this turn.,Ironclad,Ironclad,Skill,0,Uncommon,/media/cards-webp/battle_trance.webp,/media/card-portraits/ironclad/battle_trance.webp,https://sts2.untapped.gg/en/cards/battle_trance,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
33-beacon-of-hope,beacon_of_hope,Beacon of Hope,"Whenever you gain Block on your turn, other players gain half that much Block.",Beacon of Hope+,"Innate. Whenever you gain Block on your turn, other players gain half that much Block.",Colorless,Colorless,Power,1,Rare,/media/cards-webp/beacon_of_hope.webp,/media/card-portraits/colorless/beacon_of_hope.webp,https://sts2.untapped.gg/en/cards/beacon_of_hope,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
34-beam-cell,beam_cell,Beam Cell,Deal 3 damage. Apply 1 Vulnerable.,Beam Cell+,Deal 4 damage. Apply 2 Vulnerable.,Defect,Defect,Attack,0,Common,/media/cards-webp/beam_cell.webp,/media/card-portraits/defect/beam_cell.webp,https://sts2.untapped.gg/en/cards/beam_cell,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
35-beat-down,beat_down,Beat Down,Play 3 random Attacks from your Discard Pile.,Beat Down+,Play 4 random Attacks from your Discard Pile.,Colorless,Colorless,Skill,3,Rare,/media/cards-webp/beat_down.webp,/media/card-portraits/colorless/beat_down.webp,https://sts2.untapped.gg/en/cards/beat_down,3,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
36-beat-into-shape,beat_into_shape,Beat into Shape,Deal 5 damage. Forge 5. Forges an additional 5 for every other time you've hit the enemy this turn.,Beat into Shape+,Deal 7 damage. Forge 7. Forges an additional 7 for every other time you've hit the enemy this turn.,Regent,Regent,Attack,1,Rare,/media/cards-webp/beat_into_shape.webp,/media/card-portraits/regent/beat_into_shape.webp,https://sts2.untapped.gg/en/cards/beat_into_shape,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
37-beckon,beckon,Beckon,"At the end of your turn, if this is in your Hand, lose 6 HP.",,,Colorless,Status,Status,1,Status,/media/cards-webp/beckon.webp,/media/card-portraits/status/beckon.webp,https://sts2.untapped.gg/en/cards/beckon,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
38-begone-,begone,BEGONE!,Deal 4 damage. Choose a card in your Hand to Transform into Minion Dive Bomb.,BEGONE!+,Deal 5 damage. Choose a card in your Hand to Transform into Minion Dive Bomb+.,Regent,Regent,Attack,1,Common,/media/cards-webp/begone.webp,/media/card-portraits/regent/begone.webp,https://sts2.untapped.gg/en/cards/begone,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
39-believe-in-you,believe_in_you,Believe in You,Another player gains 3 Colorless Energy.,Believe in You+,Another player gains 4 Colorless Energy.,Colorless,Colorless,Skill,0,Uncommon,/media/cards-webp/believe_in_you.webp,/media/card-portraits/colorless/believe_in_you.webp,https://sts2.untapped.gg/en/cards/believe_in_you,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
40-biased-cognition,biased_cognition,Biased Cognition,"Gain 4 Focus. At the start of your turn, lose 1 Focus.",Biased Cognition+,"Gain 5 Focus. At the start of your turn, lose 1 Focus.",Defect,Defect,Power,1,Ancient,/media/cards-webp/biased_cognition.webp,/media/card-portraits/defect/biased_cognition.webp,https://sts2.untapped.gg/en/cards/biased_cognition,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
41-big-bang,big_bang,Big Bang,Draw 1 card. Gain 1 Star Energy. Gain 1 Star Energy. Forge 5. Exhaust.,Big Bang+,Innate. Draw 1 card. Gain 1 Star Energy. Gain 1 Star Energy. Forge 5. Exhaust.,Regent,Regent,Skill,0,Rare,/media/cards-webp/big_bang.webp,/media/card-portraits/regent/big_bang.webp,https://sts2.untapped.gg/en/cards/big_bang,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
42-black-hole,black_hole,Black Hole,Whenever you spend or gain 1 Star Energy deal 3 damage to ALL enemies.,Black Hole+,Whenever you spend or gain 1 Star Energy deal 4 damage to ALL enemies.,Regent,Regent,Power,1,Uncommon,/media/cards-webp/black_hole.webp,/media/card-portraits/regent/black_hole.webp,https://sts2.untapped.gg/en/cards/black_hole,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
43-blade-dance,blade_dance,Blade Dance,Add 3 Shivs into your Hand. Exhaust.,Blade Dance+,Add 4 Shivs into your Hand. Exhaust.,Silent,Silent,Skill,1,Common,/media/cards-webp/blade_dance.webp,/media/card-portraits/silent/blade_dance.webp,https://sts2.untapped.gg/en/cards/blade_dance,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
44-blade-of-ink,blade_of_ink,Blade of Ink,"This turn, whenever you play an Attack, gain 2 Strength this turn.",Blade of Ink+,"This turn, whenever you play an Attack, gain 3 Strength this turn.",Silent,Silent,Skill,1,Rare,/media/cards-webp/blade_of_ink.webp,/media/card-portraits/silent/blade_of_ink.webp,https://sts2.untapped.gg/en/cards/blade_of_ink,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
45-blight-strike,blight_strike,Blight Strike,Deal 8 damage. Apply Doom equal to damage dealt.,Blight Strike+,Deal 10 damage. Apply Doom equal to damage dealt.,Necrobinder,Necrobinder,Attack,1,Common,/media/cards-webp/blight_strike.webp,/media/card-portraits/necrobinder/blight_strike.webp,https://sts2.untapped.gg/en/cards/blight_strike,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
46-blood-wall,blood_wall,Blood Wall,Lose 2 HP. Gain 16 Block.,Blood Wall+,Lose 2 HP. Gain 20 Block.,Ironclad,Ironclad,Skill,2,Common,/media/cards-webp/blood_wall.webp,/media/card-portraits/ironclad/blood_wall.webp,https://sts2.untapped.gg/en/cards/blood_wall,2,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
47-bloodletting,bloodletting,Bloodletting,Lose 3 HP. Gain 2 Energy.,Bloodletting+,Lose 3 HP. Gain 3 Energy.,Ironclad,Ironclad,Skill,0,Common,/media/cards-webp/bloodletting.webp,/media/card-portraits/ironclad/bloodletting.webp,https://sts2.untapped.gg/en/cards/bloodletting,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
48-bludgeon,bludgeon,Bludgeon,Deal 32 damage.,Bludgeon+,Deal 42 damage.,Ironclad,Ironclad,Attack,3,Uncommon,/media/cards-webp/bludgeon.webp,/media/card-portraits/ironclad/bludgeon.webp,https://sts2.untapped.gg/en/cards/bludgeon,3,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
49-blur,blur,Blur,Gain 5 Block. Block is not removed at the start of your next turn.,Blur+,Gain 8 Block. Block is not removed at the start of your next turn.,Silent,Silent,Skill,1,Uncommon,/media/cards-webp/blur.webp,/media/card-portraits/silent/blur.webp,https://sts2.untapped.gg/en/cards/blur,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
50-body-slam,body_slam,Body Slam,Deal damage equal to your Block.,Body Slam+,Cost changes from 1 to 0,Ironclad,Ironclad,Attack,1,Common,/media/cards-webp/body_slam.webp,/media/card-portraits/ironclad/body_slam.webp,https://sts2.untapped.gg/en/cards/body_slam,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
51-bodyguard,bodyguard,Bodyguard,Summon 5.,Bodyguard+,Summon 7.,Necrobinder,Necrobinder,Skill,1,Starter,/media/cards-webp/bodyguard.webp,/media/card-portraits/necrobinder/bodyguard.webp,https://sts2.untapped.gg/en/cards/bodyguard,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
52-bolas,bolas,Bolas,"Deal 3 damage. At the start of your next turn, return this to your Hand.",Bolas+,"Deal 4 damage. At the start of your next turn, return this to your Hand.",Colorless,Colorless,Attack,0,Rare,/media/cards-webp/bolas.webp,/media/card-portraits/colorless/bolas.webp,https://sts2.untapped.gg/en/cards/bolas,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
53-bombardment,bombardment,Bombardment,"Deal 18 damage. At the start of your turn, plays from the Exhaust Pile. Exhaust.",Bombardment+,"Deal 24 damage. At the start of your turn, plays from the Exhaust Pile. Exhaust.",Regent,Regent,Attack,3,Rare,/media/cards-webp/bombardment.webp,/media/card-portraits/regent/bombardment.webp,https://sts2.untapped.gg/en/cards/bombardment,3,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
54-bone-shards,bone_shards,Bone Shards,"If Osty is alive, he deals 9 damage to ALL enemies and you gain 9 Block. Osty dies.",Bone Shards+,"If Osty is alive, he deals 12 damage to ALL enemies and you gain 12 Block. Osty dies.",Necrobinder,Necrobinder,Attack,1,Uncommon,/media/cards-webp/bone_shards.webp,/media/card-portraits/necrobinder/bone_shards.webp,https://sts2.untapped.gg/en/cards/bone_shards,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
55-boost-away,boost_away,Boost Away,Gain 6 Block. Add a Dazed into your Discard Pile.,Boost Away+,Gain 9 Block. Add a Dazed into your Discard Pile.,Defect,Defect,Skill,0,Common,/media/cards-webp/boost_away.webp,/media/card-portraits/defect/boost_away.webp,https://sts2.untapped.gg/en/cards/boost_away,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
56-boot-sequence,boot_sequence,Boot Sequence,Innate. Gain 10 Block. Exhaust.,Boot Sequence+,Innate. Gain 13 Block. Exhaust.,Defect,Defect,Skill,0,Uncommon,/media/cards-webp/boot_sequence.webp,/media/card-portraits/defect/boot_sequence.webp,https://sts2.untapped.gg/en/cards/boot_sequence,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
57-borrowed-time,borrowed_time,Borrowed Time,Apply 3 Doom to yourself. Gain 1 Energy.,Borrowed Time+,Apply 3 Doom to yourself. Gain 2 Energy.,Necrobinder,Necrobinder,Skill,0,Uncommon,/media/cards-webp/borrowed_time.webp,/media/card-portraits/necrobinder/borrowed_time.webp,https://sts2.untapped.gg/en/cards/borrowed_time,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
58-bouncing-flask,bouncing_flask,Bouncing Flask,Apply 3 Poison to a random enemy 3 times.,Bouncing Flask+,Apply 3 Poison to a random enemy 4 times.,Silent,Silent,Skill,2,Uncommon,/media/cards-webp/bouncing_flask.webp,/media/card-portraits/silent/bouncing_flask.webp,https://sts2.untapped.gg/en/cards/bouncing_flask,2,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
59-brand,brand,Brand,Lose 1 HP. Exhaust 1 card. Gain 1 Strength.,Brand+,Lose 1 HP. Exhaust 1 card. Gain 2 Strength.,Ironclad,Ironclad,Skill,0,Rare,/media/cards-webp/brand.webp,/media/card-portraits/ironclad/brand.webp,https://sts2.untapped.gg/en/cards/brand,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
60-break,break,Break,Deal 20 damage. Apply 5 Vulnerable.,Break+,Deal 25 damage. Apply 7 Vulnerable.,Ironclad,Ironclad,Attack,2,Ancient,/media/cards-webp/break.webp,/media/card-portraits/ironclad/break.webp,https://sts2.untapped.gg/en/cards/break,2,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
61-breakthrough,breakthrough,Breakthrough,Lose 1 HP. Deal 9 damage to ALL enemies.,Breakthrough+,Lose 1 HP. Deal 13 damage to ALL enemies.,Ironclad,Ironclad,Attack,1,Common,/media/cards-webp/breakthrough.webp,/media/card-portraits/ironclad/breakthrough.webp,https://sts2.untapped.gg/en/cards/breakthrough,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
62-brightest-flame,brightest_flame,Brightest Flame,Gain 2 Colorless Energy. Draw 2 cards. Lose 1 Max HP.,Brightest Flame+,Gain 3 Colorless Energy. Draw 3 cards. Lose 1 Max HP.,Colorless,Event,Skill,0,Ancient,/media/cards-webp/brightest_flame.webp,/media/card-portraits/event/brightest_flame.webp,https://sts2.untapped.gg/en/cards/brightest_flame,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
63-bubble-bubble,bubble_bubble,Bubble Bubble,"If the enemy has Poison, apply 9 Poison.",Bubble Bubble+,"If the enemy has Poison, apply 12 Poison.",Silent,Silent,Skill,1,Uncommon,/media/cards-webp/bubble_bubble.webp,/media/card-portraits/silent/bubble_bubble.webp,https://sts2.untapped.gg/en/cards/bubble_bubble,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
64-buffer,buffer,Buffer,Prevent the next time you would lose HP.,Buffer+,Prevent the next 2 times you would lose HP.,Defect,Defect,Power,2,Rare,/media/cards-webp/buffer.webp,/media/card-portraits/defect/buffer.webp,https://sts2.untapped.gg/en/cards/buffer,2,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
