name_slug,search_text,character,rarity,sort_rarity,image,name,description_title,description,id,source,source_url,fetched_at_utc,image_url
beating remnant,you cannot lose more than 20 hp in a single turn.,Colorless,Rare,3,/media/relics/beating_remnant.png,Beating Remnant,You cannot lose more than 20 HP in a single turn.,You cannot lose more than 20 HP in a single turn.,10-beating-remnant,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/beating_remnant.png
beautiful bracelet,"upon pickup, choose 3 cards in your deck. enchant them with swift 3.",Colorless,Ancient,4,/media/relics/beautiful_bracelet.png,Beautiful Bracelet,"Upon pickup, choose 3 cards in your Deck. Enchant them with Swift 3.","Upon pickup, choose 3 cards in your Deck. Enchant them with Swift 3.",11-beautiful-bracelet,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/beautiful_bracelet.png
bellows,the first hand you draw each combat is upgraded.,Colorless,Uncommon,2,/media/relics/bellows.png,Bellows,The first hand you draw each combat is Upgraded.,The first hand you draw each combat is Upgraded.,12-bellows,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bellows.png
belt buckle,"while you have no potions, you have 2 additional dexterity.",Colorless,Shop,5,/media/relics/belt_buckle.png,Belt Buckle,"While you have no potions, you have 2 additional Dexterity.","While you have no potions, you have 2 additional Dexterity.",13-belt-buckle,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/belt_buckle.png
big hat,"at the start of each combat, add 2 random ethereal cards into your hand.",Necrobinder,Rare,3,/media/relics/big_hat.png,Big Hat,"At the start of each combat, add 2 random Ethereal cards into your Hand.","At the start of each combat, add 2 random Ethereal cards into your Hand.",14-big-hat,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/big_hat.png
big mushroom,"upon pickup, raise your max hp by 20. at the start of each combat, draw 2 fewer cards.",Colorless,Event,6,/media/relics/big_mushroom.webp,Big Mushroom,"Upon pickup, raise your Max HP by 20. At the start of each combat, draw 2 fewer cards.","Upon pickup, raise your Max HP by 20. At the start of each combat, draw 2 fewer cards.",15-big-mushroom,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/big_mushroom.webp
biiig hug,"upon pickup, remove 4 cards from your deck. whenever you shuffle your draw pile, add a soot into your draw pile.",Colorless,Ancient,4,/media/relics/biiig_hug.png,Biiig Hug,"Upon pickup, remove 4 cards from your Deck. Whenever you shuffle your Draw Pile, add a Soot into your Draw Pile.","Upon pickup, remove 4 cards from your Deck. Whenever you shuffle your Draw Pile, add a Soot into your Draw Pile.",16-biiig-hug,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/biiig_hug.png
bing bong,"whenever you add a card to your deck, add one additional copy.",Colorless,Event,6,/media/relics/bing_bong.webp,Bing Bong,"Whenever you add a card to your Deck, add one additional copy.","Whenever you add a card to your Deck, add one additional copy.",17-bing-bong,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bing_bong.webp
black blood,"at the end of combat, heal 12 hp.",Ironclad,Starter,0,/media/relics/black_blood.png,Black Blood,"At the end of combat, heal 12 HP.","At the end of combat, heal 12 HP.",18-black-blood,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/black_blood.png
black star,elites drop an additional relic when defeated.,Colorless,Ancient,4,/media/relics/black_star.png,Black Star,Elites drop an additional Relic when defeated.,Elites drop an additional Relic when defeated.,19-black-star,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/black_star.png
blessed antler,"gain colorless energy at the start of each turn. at the start of each combat, shuffle 3 dazed into your draw pile.",Colorless,Ancient,4,/media/relics/blessed_antler.png,Blessed Antler,"Gain Colorless Energy at the start of each turn. At the start of each combat, shuffle 3 Dazed into your Draw Pile.","Gain Colorless Energy at the start of each turn. At the start of each combat, shuffle 3 Dazed into your Draw Pile.",20-blessed-antler,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/blessed_antler.png
blood vial,"at the start of each combat, heal 2 hp.",Colorless,Common,1,/media/relics/blood_vial.png,Blood Vial,"At the start of each combat, heal 2 HP.","At the start of each combat, heal 2 HP.",21-blood-vial,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/blood_vial.png
blood-soaked rose,"upon pickup, add 1 enthralled to your deck. gain colorless energy at the start of each turn.",Colorless,Ancient,4,/media/relics/blood_soaked_rose.png,Blood-Soaked Rose,"Upon pickup, add 1 Enthralled to your Deck. Gain Colorless Energy at the start of each turn.","Upon pickup, add 1 Enthralled to your Deck. Gain Colorless Energy at the start of each turn.",22-blood-soaked-rose,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/blood_soaked_rose.png
bone flute,"whenever osty attacks, gain 2 block.",Necrobinder,Common,1,/media/relics/bone_flute.png,Bone Flute,"Whenever Osty attacks, gain 2 Block.","Whenever Osty attacks, gain 2 Block.",23-bone-flute,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bone_flute.png
bone tea,"at the start of the next combat, upgrade your starting hand.",Colorless,Event,6,/media/relics/bone_tea.webp,Bone Tea,"At the start of the next combat, Upgrade your starting hand.","At the start of the next combat, Upgrade your starting hand.",24-bone-tea,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bone_tea.webp
book of five rings,"every 5 cards you add to your deck, heal 15 hp.",Colorless,Common,1,/media/relics/book_of_five_rings.png,Book of Five Rings,"Every 5 cards you add to your Deck, heal 15 HP.","Every 5 cards you add to your Deck, heal 15 HP.",25-book-of-five-rings,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/book_of_five_rings.png
book repair knife,"whenever a non-minion enemy dies to doom, heal 3 hp.",Necrobinder,Uncommon,2,/media/relics/book_repair_knife.png,Book Repair Knife,"Whenever a non-Minion enemy dies to Doom, heal 3 HP.","Whenever a non-Minion enemy dies to Doom, heal 3 HP.",26-book-repair-knife,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/book_repair_knife.png
bookmark,"at the end of each turn, lower the cost of a random retained card by 1 until played.",Necrobinder,Rare,3,/media/relics/bookmark.png,Bookmark,"At the end of each turn, lower the cost of a random Retained card by 1 until played.","At the end of each turn, lower the cost of a random Retained card by 1 until played.",27-bookmark,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bookmark.png
booming conch,"at the start of elite combats, draw 2 additional cards.",Colorless,Ancient,4,/media/relics/booming_conch.png,Booming Conch,"At the start of Elite combats, draw 2 additional cards.","At the start of Elite combats, draw 2 additional cards.",28-booming-conch,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/booming_conch.png
bound phylactery,"at the start of your turn, summon 1.",Necrobinder,Starter,0,/media/relics/bound_phylactery.png,Bound Phylactery,"At the start of your turn, Summon 1.","At the start of your turn, Summon 1.",29-bound-phylactery,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bound_phylactery.png
bowler hat,gain 20% additional gold.,Colorless,Uncommon,2,/media/relics/bowler_hat.png,Bowler Hat,Gain 20% additional Gold.,Gain 20% additional Gold.,30-bowler-hat,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bowler_hat.png
bread,"at the start of your first turn, lose 2 energy. at the start of all other turns, gain colorless energy.",Colorless,Shop,5,/media/relics/bread.png,Bread,"At the start of your first turn, lose 2 Energy. At the start of all other turns, gain Colorless Energy.","At the start of your first turn, lose 2 Energy. At the start of all other turns, gain Colorless Energy.",31-bread,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bread.png
brilliant scarf,the 5th card you play each turn is free.,Colorless,Ancient,4,/media/relics/brilliant_scarf.png,Brilliant Scarf,The 5th card you play each turn is free.,The 5th card you play each turn is free.,32-brilliant-scarf,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/brilliant_scarf.png
brimstone,"at the start of your turn, gain 2 strength and all enemies gain 1 strength.",Ironclad,Shop,5,/media/relics/brimstone.png,Brimstone,"At the start of your turn, gain 2 Strength and ALL enemies gain 1 Strength.","At the start of your turn, gain 2 Strength and ALL enemies gain 1 Strength.",33-brimstone,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/brimstone.png
bronze scales,start each combat with 3 thorns.,Colorless,Common,1,/media/relics/bronze_scales.png,Bronze Scales,Start each combat with 3 Thorns.,Start each combat with 3 Thorns.,34-bronze-scales,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bronze_scales.png
burning blood,"at the end of combat, heal 6 hp.",Ironclad,Starter,0,/media/relics/burning_blood.png,Burning Blood,"At the end of combat, heal 6 HP.","At the end of combat, heal 6 HP.",35-burning-blood,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/burning_blood.png
burning sticks,"the first time each combat you exhaust a skill, add a copy of it into your hand.",Colorless,Shop,5,/media/relics/burning_sticks.png,Burning Sticks,"The first time each combat you Exhaust a Skill, add a copy of it into your Hand.","The first time each combat you Exhaust a Skill, add a copy of it into your Hand.",36-burning-sticks,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/burning_sticks.png
byrdpip,"upon pickup, gain the card byrd swoop. a byrdpip will accompany you in battles.",Colorless,Event,6,/media/relics/byrdpip.webp,Byrdpip,"Upon pickup, gain the card Byrd Swoop. A Byrdpip will accompany you in battles.","Upon pickup, gain the card Byrd Swoop. A Byrdpip will accompany you in battles.",37-byrdpip,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/byrdpip.webp
calling bell,"upon pickup, obtain a unique curse and 3 relics.",Colorless,Ancient,4,/media/relics/calling_bell.png,Calling Bell,"Upon pickup, obtain a unique Curse and 3 Relics.","Upon pickup, obtain a unique Curse and 3 Relics.",38-calling-bell,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/calling_bell.png
candelabra,"at the start of your 2nd turn, gain 2 energy.",Colorless,Uncommon,2,/media/relics/candelabra.png,Candelabra,"At the start of your 2nd turn, gain 2 Energy.","At the start of your 2nd turn, gain 2 Energy.",39-candelabra,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/candelabra.png
captain's wheel,"at the start of your 3rd turn, gain 18 block.",Colorless,Rare,3,/media/relics/captain_s_wheel.png,Captain's Wheel,"At the start of your 3rd turn, gain 18 Block.","At the start of your 3rd turn, gain 18 Block.",40-captain's-wheel,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/captain_s_wheel.png
cauldron,"upon pickup, brews 5 random potions.",Colorless,Shop,5,/media/relics/cauldron.png,Cauldron,"Upon pickup, brews 5 random potions.","Upon pickup, brews 5 random potions.",41-cauldron,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/cauldron.png
centennial puzzle,"the first time you lose hp each combat, draw 3 cards.",Colorless,Common,1,/media/relics/centennial_puzzle.png,Centennial Puzzle,"The first time you lose HP each combat, draw 3 cards.","The first time you lose HP each combat, draw 3 cards.",42-centennial-puzzle,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/centennial_puzzle.png
chandelier,"at the start of your 3rd turn, gain 3 energy.",Colorless,Rare,3,/media/relics/chandelier.png,Chandelier,"At the start of your 3rd turn, gain 3 Energy.","At the start of your 3rd turn, gain 3 Energy.",43-chandelier,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/chandelier.png
charon's ashes,"whenever you exhaust a card, deal 3 damage to all enemies.",Ironclad,Rare,3,/media/relics/charon_s_ashes.png,Charon's Ashes,"Whenever you Exhaust a card, deal 3 damage to ALL enemies.","Whenever you Exhaust a card, deal 3 damage to ALL enemies.",44-charon's-ashes,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/charon_s_ashes.png
chemical x,the effects of your cost x cards are increased by 2.,Colorless,Shop,5,/media/relics/chemical_x.png,Chemical X,The effects of your cost X cards are increased by 2.,The effects of your cost X cards are increased by 2.,45-chemical-x,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/chemical_x.png
choices paradox,"at the start of each combat, add 1 of 5 random cards into your hand. add retain to the chosen card.",Colorless,Ancient,4,/media/relics/choices_paradox.png,Choices Paradox,"At the start of each combat, add 1 of 5 random cards into your Hand. Add Retain to the chosen card.","At the start of each combat, add 1 of 5 random cards into your Hand. Add Retain to the chosen card.",46-choices-paradox,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/choices_paradox.png
circlet,it's a circlet.,Colorless,Special,7,/media/relics/circlet.webp,Circlet,It's a circlet.,It's a circlet.,47-circlet,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/circlet.webp
claws,"upon pickup, transform up to 6 cards into maul.",Colorless,Ancient,4,/media/relics/claws.png,Claws,"Upon pickup, Transform up to 6 cards into Maul.","Upon pickup, Transform up to 6 cards into Maul.",48-claws,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/claws.png
cloak clasp,"at the end of your turn, gain 1 block for each card in your hand.",Colorless,Rare,3,/media/relics/cloak_clasp.png,Cloak Clasp,"At the end of your turn, gain 1 Block for each card in your Hand.","At the end of your turn, gain 1 Block for each card in your Hand.",49-cloak-clasp,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/cloak_clasp.png
cracked core,"at the start of each combat, channel 1 lightning.",Defect,Starter,0,/media/relics/cracked_core.png,Cracked Core,"At the start of each combat, Channel 1 Lightning.","At the start of each combat, Channel 1 Lightning.",50-cracked-core,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/cracked_core.png
crossbow,"at the start of your turn, add a random attack into your hand. it costs 0 energy this turn.",Colorless,Ancient,4,/media/relics/crossbow.png,Crossbow,"At the start of your turn, add a random Attack into your Hand. It costs 0 Energy this turn.","At the start of your turn, add a random Attack into your Hand. It costs 0 Energy this turn.",51-crossbow,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/crossbow.png
cursed pearl,"upon pickup, receive greed. gain 333 gold.",Colorless,Ancient,4,/media/relics/cursed_pearl.png,Cursed Pearl,"Upon pickup, receive Greed. Gain 333 Gold.","Upon pickup, receive Greed. Gain 333 Gold.",52-cursed-pearl,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/cursed_pearl.png
darkstone periapt,"whenever you obtain a curse, raise your max hp by 6.",Colorless,Event,6,/media/relics/darkstone_periapt.webp,Darkstone Periapt,"Whenever you obtain a Curse, raise your Max HP by 6.","Whenever you obtain a Curse, raise your Max HP by 6.",53-darkstone-periapt,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/darkstone_periapt.webp
data disk,start each combat with 1 focus.,Defect,Common,1,/media/relics/data_disk.png,Data Disk,Start each combat with 1 Focus.,Start each combat with 1 Focus.,54-data-disk,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/data_disk.png
daughter of the wind,"whenever you play an attack, gain 1 block.",Colorless,Event,6,/media/relics/daughter_of_the_wind.webp,Daughter of the Wind,"Whenever you play an Attack, gain 1 Block.","Whenever you play an Attack, gain 1 Block.",55-daughter-of-the-wind,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/daughter_of_the_wind.webp
delicate frond,"at the start of each combat, fill all empty potion slots with random potions.",Colorless,Ancient,4,/media/relics/delicate_frond.png,Delicate Frond,"At the start of each combat, fill all empty potion slots with random potions.","At the start of each combat, fill all empty potion slots with random potions.",56-delicate-frond,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/delicate_frond.png
demon tongue,"the first time you lose hp on your turn, heal hp equal to the amount lost.",Ironclad,Rare,3,/media/relics/demon_tongue.png,Demon Tongue,"The first time you lose HP on your turn, heal HP equal to the amount lost.","The first time you lose HP on your turn, heal HP equal to the amount lost.",57-demon-tongue,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/demon_tongue.png
diamond diadem,"whenever you play 2 or fewer cards in a turn, take half damage from enemies.",Colorless,Ancient,4,/media/relics/diamond_diadem.png,Diamond Diadem,"Whenever you play 2 or fewer cards in a turn, take half damage from enemies.","Whenever you play 2 or fewer cards in a turn, take half damage from enemies.",58-diamond-diadem,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/diamond_diadem.png
dingy rug,card rewards can now contain colorless cards.,Colorless,Shop,5,/media/relics/dingy_rug.png,Dingy Rug,Card rewards can now contain Colorless cards.,Card rewards can now contain Colorless cards.,59-dingy-rug,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/dingy_rug.png
distinguished cape,"upon pickup, lose 9 max hp. add 3 apparitions to your deck.",Colorless,Ancient,4,/media/relics/distinguished_cape.png,Distinguished Cape,"Upon pickup, lose 9 Max HP. Add 3 Apparitions to your Deck.","Upon pickup, lose 9 Max HP. Add 3 Apparitions to your Deck.",60-distinguished-cape,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/distinguished_cape.png
divine destiny,"at the start of each combat, gain 6 regent star energy.",Regent,Starter,0,/media/relics/divine_destiny.png,Divine Destiny,"At the start of each combat, gain 6 Regent Star Energy.","At the start of each combat, gain 6 Regent Star Energy.",61-divine-destiny,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/divine_destiny.png
divine right,"at the start of each combat, gain 3 regent star energy.",Regent,Starter,0,/media/relics/divine_right.png,Divine Right,"At the start of each combat, gain 3 Regent Star Energy.","At the start of each combat, gain 3 Regent Star Energy.",62-divine-right,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/divine_right.png
dolly's mirror,"upon pickup, obtain an additional copy of a card in your deck.",Colorless,Shop,5,/media/relics/dolly_s_mirror.png,Dolly's Mirror,"Upon pickup, obtain an additional copy of a card in your Deck.","Upon pickup, obtain an additional copy of a card in your Deck.",63-dolly's-mirror,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/dolly_s_mirror.png
dragon fruit,"whenever you gain gold, raise your max hp by 1.",Colorless,Shop,5,/media/relics/dragon_fruit.png,Dragon Fruit,"Whenever you gain Gold, raise your Max HP by 1.","Whenever you gain Gold, raise your Max HP by 1.",64-dragon-fruit,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/dragon_fruit.png
dream catcher,"whenever you rest, you may add a card to your deck.",Colorless,Event,6,/media/relics/dream_catcher.webp,Dream Catcher,"Whenever you Rest, you may add a card to your Deck.","Whenever you Rest, you may add a card to your Deck.",65-dream-catcher,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/dream_catcher.webp
driftwood,you may reroll each card reward once.,Colorless,Ancient,4,/media/relics/driftwood.png,Driftwood,You may reroll each card reward once.,You may reroll each card reward once.,66-driftwood,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/driftwood.png
dusty tome,"upon pickup, obtain an ancient card.",Colorless,Ancient,4,/media/relics/dusty_tome.png,Dusty Tome,"Upon pickup, obtain an Ancient Card.","Upon pickup, obtain an Ancient Card.",67-dusty-tome,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/dusty_tome.png
ectoplasm,you can no longer gain gold. gain colorless energy at the start of each turn.,Colorless,Ancient,4,/media/relics/ectoplasm.png,Ectoplasm,You can no longer gain Gold. Gain Colorless Energy at the start of each turn.,You can no longer gain Gold. Gain Colorless Energy at the start of each turn.,68-ectoplasm,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/ectoplasm.png
electric shrymp,"upon pickup, enchant a skill with imbued.",Colorless,Ancient,4,/media/relics/electric_shrymp.png,Electric Shrymp,"Upon pickup, Enchant a Skill with Imbued.","Upon pickup, Enchant a Skill with Imbued.",69-electric-shrymp,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/electric_shrymp.png
ember tea,"at the start of the next 5 combats, gain 2 strength.",Colorless,Event,6,/media/relics/ember_tea.webp,Ember Tea,"At the start of the next 5 combats, gain 2 Strength.","At the start of the next 5 combats, gain 2 Strength.",70-ember-tea,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/ember_tea.webp
emotion chip,"if you lost hp during the previous turn, trigger the passive ability of all orbs at the start of your turn.",Defect,Rare,3,/media/relics/emotion_chip.png,Emotion Chip,"If you lost HP during the previous turn, trigger the passive ability of all Orbs at the start of your turn.","If you lost HP during the previous turn, trigger the passive ability of all Orbs at the start of your turn.",71-emotion-chip,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/emotion_chip.png
