name,color,type,rarity,cost,order,base_description,search_text,source,source_url,fetched_at_utc
Armaments,ironclad,skill,common,1,23,Gain 5 Block. / Upgrade a card in your Hand.,armaments ironclad common skill gain 5 block . upgrade a card in your hand . gain 5 block . upgrade a card in your hand .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Astral Pulse,regent,attack,common,0,24,Deal 14 damage to ALL enemies.,astral pulse regent common attack deal 14 damage to all enemies. deal 18 damage to all enemies.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Backflip,silent,skill,common,1,25,Gain 5 Block. / Draw 2 cards.,backflip silent common skill gain 5 block . draw 2 cards. gain 8 block . draw 2 cards.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Ball Lightning,defect,attack,common,1,26,Deal 7 damage. / Channel 1 Lightning.,ball lightning defect common attack deal 7 damage. channel 1 lightning . deal 10 damage. channel 1 lightning .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Barrage,defect,attack,common,1,27,Deal 5 damage for each Channeled Orb.,barrage defect common attack deal 5 damage for each channeled orb. deal 7 damage for each channeled orb.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Beam Cell,defect,attack,common,0,28,Deal 3 damage. / Apply 1 Vulnerable.,beam cell defect common attack deal 3 damage. apply 1 vulnerable . deal 4 damage. apply 2 vulnerable .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
BEGONE!,regent,attack,common,1,29,Deal 4 damage. / Choose a card in your Hand to Transform into Minion Dive Bomb.,begone! regent common attack deal 4 damage. choose a card in your hand to transform into minion dive bomb . deal 5 damage. choose a card in your hand to transform into minion dive bomb .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Blade Dance,silent,skill,common,1,30,Add 3 Shivs into your Hand.,blade dance silent common skill add 3 shivs into your hand . add 4 shivs into your hand .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Blight Strike,necrobinder,attack,common,1,31,Deal 8 damage. / Apply Doom equal to damage dealt.,blight strike necrobinder common attack deal 8 damage. apply doom equal to damage dealt. deal 10 damage. apply doom equal to damage dealt.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Blood Wall,ironclad,skill,common,2,32,Lose 2 HP. / Gain 16 Block.,blood wall ironclad common skill lose 2 hp. gain 16 block . lose 2 hp. gain 20 block .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Bloodletting,ironclad,skill,common,0,33,Lose 3 HP. / Gain .,bloodletting ironclad common skill lose 3 hp. gain . lose 3 hp. gain .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Body Slam,ironclad,attack,common,1,34,Deal damage equal to your Block.,body slam ironclad common attack deal damage equal to your block . deal damage equal to your block .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Boost Away,defect,skill,common,0,35,Gain 6 Block. / Add a Dazed into your Discard Pile.,boost away defect common skill gain 6 block . add a dazed into your discard pile . gain 9 block . add a dazed into your discard pile .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Breakthrough,ironclad,attack,common,1,36,Lose 1 HP. / Deal 9 damage to ALL enemies.,breakthrough ironclad common attack lose 1 hp. deal 9 damage to all enemies. lose 1 hp. deal 13 damage to all enemies.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Celestial Might,regent,attack,common,2,37,Deal 6 damage 3 times.,celestial might regent common attack deal 6 damage 3 times. deal 8 damage 3 times.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Charge Battery,defect,skill,common,1,38,"Gain 7 Block. / Next turn, gain .","charge battery defect common skill gain 7 block . next turn, gain . gain 10 block . next turn, gain .",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Cinder,ironclad,attack,common,2,39,Deal 17 damage. / Exhaust the top card of your Draw Pile.,cinder ironclad common attack deal 17 damage. exhaust the top card of your draw pile . deal 22 damage. exhaust the top card of your draw pile .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Claw,defect,attack,common,0,40,Deal 3 damage. / Increase the damage of ALL Claw cards by 2 this combat.,claw defect common attack deal 3 damage. increase the damage of all claw cards by 2 this combat. deal 4 damage. increase the damage of all claw cards by 3 this combat.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Cloak and Dagger,silent,skill,common,1,41,Gain 6 Block. / Add 1 Shiv into your Hand.,cloak and dagger silent common skill gain 6 block . add 1 shiv into your hand . gain 6 block . add 2 shivs into your hand .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Cloak of Stars,regent,skill,common,0,42,Gain 7 Block.,cloak of stars regent common skill gain 7 block . gain 10 block .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Cold Snap,defect,attack,common,1,43,Deal 6 damage. / Channel 1 Frost.,cold snap defect common attack deal 6 damage. channel 1 frost . deal 9 damage. channel 1 frost .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Collision Course,regent,attack,common,0,44,Deal 9 damage. / Add a Debris into your Hand.,collision course regent common attack deal 9 damage. add a debris into your hand . deal 12 damage. add a debris into your hand .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Compile Driver,defect,attack,common,1,45,Deal 7 damage. / Draw 1 card for each unique Orb you have.,compile driver defect common attack deal 7 damage. draw 1 card for each unique orb you have. deal 10 damage. draw 1 card for each unique orb you have.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Coolheaded,defect,skill,common,1,46,Channel 1 Frost. / Draw 1 card.,coolheaded defect common skill channel 1 frost . draw 1 card. channel 1 frost . draw 2 cards.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Cosmic Indifference,regent,skill,common,1,47,Gain 6 Block. / Put a card from your Discard Pile on top of your Draw Pile.,cosmic indifference regent common skill gain 6 block . put a card from your discard pile on top of your draw pile . gain 9 block . put a card from your discard pile on top of your draw pile .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Crescent Spear,regent,attack,common,1,48,Deal 6 damage. / Deals 2 additional damage for ALL your cards that have a cost.,crescent spear regent common attack deal 6 damage. deals 2 additional damage for all your cards that have a cost. deal 6 damage. deals 3 additional damage for all your cards that have a cost.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Crush Under,regent,attack,common,1,49,Deal 7 damage to ALL enemies. All enemies lose 1 Strength this turn.,crush under regent common attack deal 7 damage to all enemies. all enemies lose 1 strength this turn. deal 8 damage to all enemies. all enemies lose 2 strength this turn.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Rend,colorless,attack,rare,2,50,Deal 15 damage. / Deals 5 additional damage for each unique debuff on the enemy.,rend colorless rare attack deal 15 damage. deals 5 additional damage for each unique debuff on the enemy. deal 18 damage. deals 8 additional damage for each unique debuff on the enemy.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Rolling Boulder,colorless,power,rare,3,51,"At the start of your turn, deal 5 damage to ALL enemies and increase this damage by 5.","rolling boulder colorless rare power at the start of your turn, deal 5 damage to all enemies and increase this damage by 5 . at the start of your turn, deal 10 damage to all enemies and increase this damage by 5 .",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Royalties,regent,power,rare,1,52,"At the end of combat, gain 30 Gold.","royalties regent rare power at the end of combat, gain 30 gold . at the end of combat, gain 35 gold .",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Sacrifice,necrobinder,skill,rare,1,53,"If Osty is alive, he dies and you gain Block equal to double his Max HP.","sacrifice necrobinder rare skill if osty is alive, he dies and you gain block equal to double his max hp. if osty is alive, he dies and you gain block equal to double his max hp.",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Salvo,colorless,attack,rare,1,54,Deal 12 damage. / Retain your Hand this turn.,salvo colorless rare attack deal 12 damage. retain your hand this turn. deal 16 damage. retain your hand this turn.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Scrawl,colorless,skill,rare,1,55,Draw cards until your Hand is full.,scrawl colorless rare skill draw cards until your hand is full. draw cards until your hand is full.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Seance,necrobinder,skill,rare,0,56,Transform a card in your Draw Pile into Soul.,seance necrobinder rare skill transform a card in your draw pile into soul . transform a card in your draw pile into soul .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Secret Technique,colorless,skill,rare,0,57,Put a Skill from your Draw Pile into your Hand.,secret technique colorless rare skill put a skill from your draw pile into your hand . put a skill from your draw pile into your hand .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Secret Weapon,colorless,skill,rare,0,58,Put an Attack from your Draw Pile into your Hand.,secret weapon colorless rare skill put an attack from your draw pile into your hand . put an attack from your draw pile into your hand .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Seeking Edge,regent,power,rare,1,59,Forge 7. / Sovereign Blade now deals damage to ALL enemies.,seeking edge regent rare power forge 7 . sovereign blade now deals damage to all enemies. forge 11 . sovereign blade now deals damage to all enemies.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Sentry Mode,necrobinder,power,rare,2,60,"At the start of your turn, add 1 Sweeping Gaze into your Hand.","sentry mode necrobinder rare power at the start of your turn, add 1 sweeping gaze into your hand . at the start of your turn, add 1 sweeping gaze into your hand .",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Serpent Form,silent,power,rare,3,61,"Whenever you play a card, deal 4 damage to a random enemy.","serpent form silent rare power whenever you play a card, deal 4 damage to a random enemy. whenever you play a card, deal 5 damage to a random enemy.",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Seven Stars,regent,attack,rare,2,62,Deal 7 damage to ALL enemies 7 times.,seven stars regent rare attack deal 7 damage to all enemies 7 times. deal 7 damage to all enemies 7 times.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Shadow Step,silent,skill,rare,1,63,"Discard your Hand. / Next turn, Attacks deal double damage.","shadow step silent rare skill discard your hand . next turn, attacks deal double damage. discard your hand . next turn, attacks deal double damage.",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Shadowmeld,silent,skill,rare,1,64,Double your Block gain this turn.,shadowmeld silent rare skill double your block gain this turn. double your block gain this turn.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Shared Fate,necrobinder,skill,rare,0,65,Lose 2 Strength. / Enemy loses 2 Strength.,shared fate necrobinder rare skill lose 2 strength . enemy loses 2 strength . lose 2 strength . enemy loses 3 strength .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Shatter,defect,attack,rare,1,66,Deal 11 damage to ALL enemies. / Evoke all of your Orbs.,shatter defect rare attack deal 11 damage to all enemies. evoke all of your orbs. deal 15 damage to all enemies. evoke all of your orbs.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Signal Boost,defect,skill,rare,1,67,The next Power you play is played an additional time.,signal boost defect rare skill the next power you play is played an additional time. the next power you play is played an additional time.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Sneaky,silent,power,rare,2,68,"Whenever another player attacks an enemy, gain 1 Block.","sneaky silent rare power whenever another player attacks an enemy, gain 1 block . whenever another player attacks an enemy, gain 2 block .",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Soul Storm,necrobinder,attack,rare,1,69,Deal 9 damage. / Deals 2 additional damage for each Soul in your Exhaust Pile.,soul storm necrobinder rare attack deal 9 damage. deals 2 additional damage for each soul in your exhaust pile . deal 9 damage. deals 3 additional damage for each soul in your exhaust pile .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Spinner,defect,power,rare,1,70,"At the start of your turn, Channel 1 Glass.","spinner defect rare power at the start of your turn, channel 1 glass . at the start of your turn, channel 1 glass .",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Spirit of Ash,necrobinder,power,rare,1,71,"Whenever you play an Ethereal card, gain 4 Block.","spirit of ash necrobinder rare power whenever you play an ethereal card, gain 4 block . whenever you play an ethereal card, gain 5 block .",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Squeeze,necrobinder,attack,rare,3,72,Osty deals 25 damage. / Deals 5 additional damage for ALL your other Osty Attacks.,squeeze necrobinder rare attack osty deals 25 damage. deals 5 additional damage for all your other osty attacks. osty deals 30 damage. deals 6 additional damage for all your other osty attacks.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Stoke,ironclad,skill,rare,1,73,Exhaust your Hand. / Draw a card for each card Exhausted.,stoke ironclad rare skill exhaust your hand . draw a card for each card exhausted . exhaust your hand . draw a card for each card exhausted .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Storm of Steel,silent,skill,rare,1,74,Discard your Hand. / Add 1 Shiv into your Hand for each card discarded.,storm of steel silent rare skill discard your hand . add 1 shiv into your hand for each card discarded. discard your hand . add 1 shiv into your hand for each card discarded.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Supercritical,defect,skill,rare,0,75,Gain .,supercritical defect rare skill gain . gain .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Sword Sage,regent,power,rare,2,76,Increase the cost of Sovereign Blade by 1. Sovereign Blade now hits an additional time.,sword sage regent rare power increase the cost of sovereign blade by 1. sovereign blade now hits an additional time. increase the cost of sovereign blade by 1. sovereign blade now hits an additional time.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Tank,ironclad,power,rare,1,77,Take double damage from enemies. / Allies take half damage from enemies.,tank ironclad rare power take double damage from enemies. allies take half damage from enemies. take double damage from enemies. allies take half damage from enemies.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Tear Asunder,ironclad,attack,rare,2,78,Deal 5 damage. / Hits an additional time for each time you lost HP this combat.,tear asunder ironclad rare attack deal 5 damage. hits an additional time for each time you lost hp this combat. deal 7 damage. hits an additional time for each time you lost hp this combat.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
The Gambit,colorless,skill,rare,0,79,"Gain 50 Block. / If you take unblocked attack damage this combat, die.","the gambit colorless rare skill gain 50 block . if you take unblocked attack damage this combat, die. gain 75 block . if you take unblocked attack damage this combat, die.",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
The Hunt,silent,attack,rare,1,80,"Deal 10 damage. / If Fatal, gain an additional card reward.","the hunt silent rare attack deal 10 damage. if fatal , gain an additional card reward. deal 15 damage. if fatal , gain an additional card reward.",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
The Scythe,necrobinder,attack,rare,2,81,Deal 13 damage. / Permanently increase this card's damage by 3.,the scythe necrobinder rare attack deal 13 damage. permanently increase this card's damage by 3 . deal 13 damage. permanently increase this card's damage by 4 .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
The Smith,regent,skill,rare,1,82,Forge 30.,the smith regent rare skill forge 30 . forge 40 .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Thrash,ironclad,attack,rare,1,83,Deal 4 damage twice. / Exhaust a random Attack in your Hand and add its damage to this card.,thrash ironclad rare attack deal 4 damage twice. exhaust a random attack in your hand and add its damage to this card. deal 6 damage twice. exhaust a random attack in your hand and add its damage to this card.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Time's Up,necrobinder,attack,rare,2,84,Deal damage equal to the enemy's Doom.,time's up necrobinder rare attack deal damage equal to the enemy's doom . deal damage equal to the enemy's doom .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Tools of the Trade,silent,power,rare,1,85,"At the start of your turn, draw 1 card and discard 1 card.","tools of the trade silent rare power at the start of your turn, draw 1 card and discard 1 card. at the start of your turn, draw 1 card and discard 1 card.",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Tracking,silent,power,rare,2,86,Weak enemies take double damage from Attacks.,tracking silent rare power weak enemies take double damage from attacks. weak enemies take double damage from attacks.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Transfigure,necrobinder,skill,rare,1,87,Add Replay to a card in your Hand. / It costs an extra .,transfigure necrobinder rare skill add replay to a card in your hand . it costs an extra . add replay to a card in your hand . it costs an extra .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Trash to Treasure,defect,power,rare,1,88,"Whenever you create a Status card, Channel 1 random Orb.","trash to treasure defect rare power whenever you create a status card, channel 1 random orb. whenever you create a status card, channel 1 random orb.",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Tyranny,regent,power,rare,1,89,"At the start of your turn, draw 1 card and Exhaust 1 card from your Hand.","tyranny regent rare power at the start of your turn, draw 1 card and exhaust 1 card from your hand . at the start of your turn, draw 1 card and exhaust 1 card from your hand .",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Undeath,necrobinder,skill,rare,0,90,Gain 7 Block. / Add a copy of this card into your Discard Pile.,undeath necrobinder rare skill gain 7 block . add a copy of this card into your discard pile . gain 9 block . add a copy of this card into your discard pile .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Unmovable,ironclad,power,rare,2,91,"The first time you gain Block from a card each turn, double the amount gained.","unmovable ironclad rare power the first time you gain block from a card each turn, double the amount gained. the first time you gain block from a card each turn, double the amount gained.",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Void Form,regent,power,rare,3,92,End your turn. / The first 2 you play each turn are free to play.,void form regent rare power end your turn. the first 2 you play each turn are free to play. end your turn. the first 3 you play each turn are free to play.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Voltaic,defect,skill,rare,2,93,Channel Lightning equal to the Lightning already Channeled this combat.,voltaic defect rare skill channel lightning equal to the lightning already channeled this combat. channel lightning equal to the lightning already channeled this combat.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Apotheosis,event,skill,ancient,2,94,Upgrade ALL your cards.,apotheosis event ancient skill upgrade all your cards. upgrade all your cards.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Apparition,event,skill,ancient,1,95,Gain 1 Intangible.,apparition event ancient skill gain 1 intangible . gain 1 intangible .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Biased Cognition,defect,power,ancient,1,96,"Gain 4 Focus. / At the start of your turn, lose 1 Focus.","biased cognition defect ancient power gain 4 focus . at the start of your turn, lose 1 focus . gain 5 focus . at the start of your turn, lose 1 focus .",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Break,ironclad,attack,ancient,2,97,Deal 20 damage. / Apply 5 Vulnerable.,break ironclad ancient attack deal 20 damage. apply 5 vulnerable . deal 25 damage. apply 7 vulnerable .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Brightest Flame,event,skill,ancient,0,98,Gain . / Draw 2 cards. / Lose 1 Max HP.,brightest flame event ancient skill gain . draw 2 cards. lose 1 max hp. gain . draw 3 cards. lose 1 max hp.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Corruption,ironclad,power,ancient,3,99,"Skills cost 0 . / Whenever you play a Skill, Exhaust it.","corruption ironclad ancient power skills cost 0 . whenever you play a skill, exhaust it. skills cost 0 . whenever you play a skill, exhaust it.",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Forbidden Grimoire,necrobinder,power,ancient,2,100,"At the end of combat, you may remove a card from your Deck.","forbidden grimoire necrobinder ancient power at the end of combat, you may remove a card from your deck . at the end of combat, you may remove a card from your deck .",StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Maul,event,attack,ancient,1,101,Deal 5 damage twice. / Increase the damage of ALL Maul cards by 1 this combat.,maul event ancient attack deal 5 damage twice. increase the damage of all maul cards by 1 this combat. deal 6 damage twice. increase the damage of all maul cards by 2 this combat.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
